 Produção Ambulatorial_Estabel. com cod. SIA_até out/99,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63
Vl.Aprovado por Mes de Processamen segundo UPS CGC/ MG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPS CGC/CPF MG1,Jul/94,Ago/94,Set/94,Out/94,Nov/94,Dez/94,Jan/95,Fev/95,Mar/95,Abr/95,Mai/95,Jun/95,Jul/95,Ago/95,Set/95,Out/95,Nov/95,Dez/95,Jan/96,Fev/96,Mar/96,Abr/96,Mai/96,Jun/96,Jul/96,Ago/96,Set/96,Out/96,Nov/96,Dez/96,Jan/97,Fev/97,Mar/97,Abr/97,Mai/97,Jun/97,Jul/97,Ago/97,Set/97,Out/97,Nov/97,Dez/97,Jan/98,Fev/98,Mar/98,Abr/98,Mai/98,Jun/98,Jul/98,Ago/98,Set/98,Out/98,Nov/98,Dez/98,Jan/99,Fev/99,Mar/99,Abr/99,Mai/99,Jun/99,Jul/99,Ago/99,Total
00.059.867/0001-12-INSTITUTO DOS OLHOS DE LAVRAS,0,0,0,0,0,0,0,0,0,0,6557.410000000001,13222.09,14491.79,16664.61,11184.16,15065.669999999996,22697.829999999998,26886.03,21303.21,21373.34,23462.45,23774.16,23462.45,24912.920000000002,26558.05,28507.61,33722,33472.909999999996,34875.22,35293.44,32320.38,37677.09,48933.030000000006,37715.79,34738.149999999994,43012.2,43010.17,43296.34,39049.43,44843.78,47972.08000000001,48061.29,42586.79,42936.479999999996,48513.15000000001,48567.979999999996,44422.61,61106.520000000004,60992.42999999999,60374.56,57844.619999999995,56087.54,57788,57385.78,51345.87,53132.759999999995,55472.08,55433.2,54037.81,57848,57768.51,58690.770000000004,2040452.5400000005
00.112.288/0001-96-SANTA CASA MISERICORDIA DE ALTE,6442.66,7264.949999999999,7190.090000000001,7385.629999999999,7359.740000000002,7021.0199999999995,7212.6600000000035,5166.09,7677.620000000001,10051.549999999997,4572.6,7984.560000000001,5812.47,7665.2699999999995,5372.700000000001,7122.420000000001,6730.390000000002,6619.579999999999,6737.950000000001,6077.720000000001,5988.830000000001,6768.97,5117.370000000001,5391.140000000002,5918.609999999998,5975.6900000000005,6405.549999999998,5565.850000000002,5633.84,5278.2400000000025,6233.030000000002,6581.81,6702.670000000001,8944.86,6646.64,8110.68,8006.180000000004,6644.7699999999995,3792.96,6897.510000000001,6865.559999999998,7514.8899999999985,6658.999999999999,8062.629999999999,4305.469999999999,7696.33,7274.870000000001,9111.340000000002,8314.179999999998,8085.7,7075.689999999999,7545.659999999999,7805.58,7508.259999999999,7077.889999999999,6614.3,7935.2300000000005,7532.569999999999,6956.5,7451.3099999999995,4087.38,7499.95,423053.16000000003
00.112.481/0001-27-CAMPANHA COLO UTERO PROPEDEUTIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11138.6,0,0,0,0,4953.2,0,0,0,0,0,0,16091.8
00.127.525/0001-92-CAMP. COLO UTERO LAB. A. C. PRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7777.5,0,0,0,0,0,0,0,0,7777.5
00.127.525/0001-92-LAB. ANALISES CLIN. CIT. PREV.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.38000000000002,820.78,1024.2300000000002,1393.3600000000001,1304.5400000000002,1409.3600000000001,1246.69,1398.4900000000002,1234.7499999999998,1187.95,1382.71,1506.8600000000001,0,1389.9199999999998,2746.5100000000007,1020.9200000000001,1408.71,1409.11,1090.8,1242.23,1761.2500000000002,1408.7,1566.8000000000002,1408.3500000000001,1409.42,1409.2099999999994,1226.1999999999996,2007.97,1447.8600000000001,1679.77,1704.0599999999997,1126.2399999999998,1375.8899999999999,1457.6900000000003,299.85,45694.55999999999
00.132.350/0001-01-GRUPO ODONTOLOGICO UNIDO S.C. L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10672.029999999999,10672.029999999999
00.193.778/0001-64-CAMP COLO UTERO LAB. PAT. SUD.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12041.4,0,0,0,0,0,0,0,0,0,0,12041.4
00.193.778/0001-64-LAB PATOLOGIA SUDOESTE MINEIRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,4685.38,472.26,5290.25,2199.16,2903.0099999999998,16013.06
00.216.653/0001-02-NEFROCLINICA DE UBERLANDIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30021.980000000018,29376.580000000013,31558.58000000001,31736.29000000001,30414.570000000007,27131.56000000001,32163.35000000001,29902.7,35354.37000000002,34947.290000000015,35194.769999999975,42553.65000000002,41741.85000000003,45325.88000000003,53411.260000000024,52696.16000000001,53932.74000000002,59519.25000000006,64647.16000000001,65350.529999999984,76610.30000000008,74858.59000000008,72627.65999999995,82228.49000000009,79733.6500000001,78047.27000000008,84655.35000000012,87559.02000000008,79668.97000000009,1542969.8200000008
00.222.102/0001-51-CLINICA NEFROLOGICA DE T CORACO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45366.87999999988,50585.81000000025,45536.04999999987,48278.909999999865,51218.010000000206,52684.1999999999,53074.77999999996,54265.43000000036,46804.299999999974,55375.86999999996,61771.040000000285,58024.6299999998,58982.9499999998,59368.19000000031,59217.76999999986,800554.8200000003
00.244.333/0001-66-PRO-RENAL S/C LTDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26449.810000000012,26393.52000000001,23678.220000000005,26432.140000000014,25782.61000000001,28511.77000000001,29121.74000000001,25654.71000000001,30556.270000000015,31261.460000000006,27964.689999999988,31103.690000000013,30768.410000000014,32015.370000000017,36113.85999999999,44036.219999999994,41995.10999999999,45740.03,49420.40000000001,44293.12,49619.63,48639.93000000002,43642.07000000001,51100.11000000003,51079.62000000002,51402.41000000002,51189.73000000001,54245.92000000002,54133.07000000003,1112345.6400000004
