Movimento de AIH - Arquivos Reduzidos - Brasil,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64
Valor Total por Ano/mês proc(<99) segundo Hospital BR (CNPJ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospital BR (CNPJ),Jul/1994,Ago/1994,Set/1994,Out/1994,Nov/1994,Dez/1994,Jan/1995,Fev/1995,Mar/1995,Abr/1995,Mai/1995,Jun/1995,Jul/1995,Ago/1995,Set/1995,Out/1995,Nov/1995,Dez/1995,Jan/1996,Fev/1996,Mar/1996,Abr/1996,Mai/1996,Jun/1996,Jul/1996,Ago/1996,Set/1996,Out/1996,Nov/1996,Dez/1996,Jan/1997,Fev/1997,Mar/1997,Abr/1997,Mai/1997,Jun/1997,Jul/1997,Ago/1997,Set/1997,Out/1997,Nov/1997,Dez/1997,Jan/1998,Fev/1998,Mar/1998,Abr/1998,Mai/1998,Jun/1998,Jul/1998,Ago/1998,Set/1998,Out/1998,Nov/1998,Dez/1998,Jan/1999,Fev/1999,Mar/1999,Abr/1999,Mai/1999,Jun/1999,Jul/1999,Ago/1999,Total,
00112288000196 SANTA CASA MISERICORDIA DE ALTEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19815.8,13540.130000000001,13798.659999999998,13803.110000000006,13803.979999999992,13623.140000000005,10129.060000000005,13622.030000000012,12379.850000000004,9547.29,13667.650000000005,13677.330000000004,11310.890000000005,13726.990000000003,13458.449999999999,199904.36000000004,
00178959000111 PLUS VIDA ADMINISTRACAO EM SAUDE,0,0,0,0,0,0,0,0,11299.77,1681.92,2213.7999999999997,3927.9900000000002,2898.2500000000005,1076.7200000000003,2246.9900000000002,2262.06,0,2330.8599999999997,1281.26,0,2070.8,1300.96,2820.6699999999996,2170.3799999999997,1611.01,0,3861.61,0,0,741.6400000000001,0,0,678.3399999999999,0,0,4119.6100000000015,1397.74,0,0,2662.4300000000003,0,1042.47,0,0,0,1206.43,0,0,1366.25,0,0,0,0,0,0,0,0,0,0,0,0,0,58269.96,
00394445009664 HOSPITAL UNIVERSITARIO UFJF,72151.83999999997,63126.39999999995,81970.07999999994,79831.71,121073.67000000003,85560.11999999995,85415.18999999997,64767.97999999993,99327.60000000011,86266.28999999998,0,188779.51000000027,93912.77000000006,111518.73000000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1233701.8900000001,FEDERAL
00590282000124 HOSPITAL MUNICIPAL CONCEICAO PALHARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13206.329999999996,15649.100000000004,13515.880000000006,14934.360000000008,17264.450000000008,14853.00000000001,19357.669999999995,12448.99,9108.750000000002,11394.619999999995,13364.730000000003,10510.81,11967.300000000001,10480.660000000003,9546.159999999998,11734.77,9616.210000000003,11553.569999999996,10002.44,8741.15,14052.810000000005,0,19110.020000000008,6451.080000000002,8545.96,10878.879999999997,10672.600000000002,11293.169999999998,5017.960000000001,8271.169999999998,17009.42,10632.219999999998,4140.12,10682.030000000002,6099.140000000001,9011.890000000001,9264.840000000002,8666.5,7450.3499999999985,10439.23,10470.35,7830.579999999998,8693.769999999999,10589.269999999995,5136.07,479660.38000000006,
00601543000164 FUNDACAO PRO SAUDE DE RIBEIRAO DAS NEVES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34004.81999999998,63555.76999999999,40681.04000000001,48358.649999999834,42303.82999999986,51219.63999999991,54481.019999999815,70615.10999999987,43058.57999999992,64864.94000000004,67955.43000000001,64357.21000000005,58300.92000000005,79124.52000000014,99092.04999999976,101711.3599999999,95969.5999999999,89199.14999999989,112908.1700000001,106689.27000000025,77904.66,90609.35999999993,94562.90999999995,94857.64999999995,108039.46999999975,99227.8299999998,116365.19999999981,109687.89999999979,114237.45999999979,2293943.519999998,
00998201000120 HOSPITAL RAIMUNDO CAMPOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58898.77000000008,17136.21,20125.84999999999,18638.680000000004,17008.059999999998,16272.429999999982,17343.92,17056.689999999988,17246.6,18329.23,18448.189999999995,19707.429999999993,24861.850000000013,23949,24040.59,31539.420000000042,26043.670000000027,23790.499999999996,14117.009999999998,11216.999999999998,10092.12,15937.839999999998,17456.550000000003,19520.600000000006,19258.900000000012,19383.520000000004,18632.29000000001,556052.9200000003,
01191590000140 CETI - CENTRO ESPECIALIZADO EM TERAPEUTICA INFANTIL LTDA.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27408.36999999999,17321.14000000001,12882.949999999999,18549.59999999999,18419.490000000005,24874.439999999995,31111.19,41706.44,30532.690000000013,28749.99,25691.80000000001,27498.57999999999,28029.85,23365.62,26573.45999999999,25342.11999999999,30070.09,40370.43,41366.39000000002,50572.56000000003,32979.709999999985,25013.549999999996,21335.509999999995,13358.940000000002,19814.779999999995,17572.11,18548.899999999994,4536.079999999999,7563.579999999998,14039.160000000003,16373.650000000003,6666.179999999999,0,0,768239.35,
01294996000158 INSTITUTO MUN.DE SAUDE E ACAO SOCIAL\MONTE SIAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14487.659999999994,12321.050000000003,18107.66,15871.279999999992,13357.459999999975,13060.949999999984,13639.049999999988,14198.539999999988,12554.389999999983,12200.919999999984,12466.539999999988,12258.039999999999,13844.130000000001,13585.23999999999,13339.50999999999,17802.499999999993,16566.439999999984,0,34959.77000000002,12244.460000000006,18358.459999999995,17417.429999999993,16165.409999999994,13490.869999999999,15551.539999999995,17369.190000000002,15058.26999999999,17905.749999999996,19562.399999999998,19610.42000000001,457355.3299999999,
