 Produção Ambulatorial_Estabel. com cod. SIA_até out/99,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63
Vl.Aprovado por Mes de Processamen segundo UPS CGC/PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPS CGC/PI,Jul/94,Ago/94,Set/94,Out/94,Nov/94,Dez/94,Jan/95,Fev/95,Mar/95,Abr/95,Mai/95,Jun/95,Jul/95,Ago/95,Set/95,Out/95,Nov/95,Dez/95,Jan/96,Fev/96,Mar/96,Abr/96,Mai/96,Jun/96,Jul/96,Ago/96,Set/96,Out/96,Nov/96,Dez/96,Jan/97,Fev/97,Mar/97,Abr/97,Mai/97,Jun/97,Jul/97,Ago/97,Set/97,Out/97,Nov/97,Dez/97,Jan/98,Fev/98,Mar/98,Abr/98,Mai/98,Jun/98,Jul/98,Ago/98,Set/98,Out/98,Nov/98,Dez/98,Jan/99,Fev/99,Mar/99,Abr/99,Mai/99,Jun/99,Jul/99,Ago/99,Total
00.055.903/0001-70-CLINICA DR. ARISTIDES REIS,0,0,652.8,652.8,652.8,652.8,652.8,652.8,652.8,652.8,652.8,652.8,652.8,652.8,652.8,652.8,652.8,652.8,652.8,652.8,652.8,652.8,0,554.88,1305.6,652.8,652.8,652.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16874.879999999994
00.060.711/0001-51-CL DE ATEND MEDICO LEAO XIII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12368.289999999999,12367.17,12369.4,12367.249999999998,2294.98,22433.330000000005,12199.030000000004,12366.360000000002,98765.81000000001
00.063.442/0001-87-CENTROCLINICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1790.8,1526,1534,1998.1599999999999,1999.28,1998.44,1998.68,1998.44,1999.76,1998.2,1998.16,1489.72,2413,24742.640000000003
00.085.215/0001-52-CL INDEPENDECIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1699.25,1633.0500000000002,1313.78,1485.9099999999999,1856.92,1245.1200000000001,0,1322.78,2734.0899999999997,1294.97,1180.4,678.3299999999999,2264.88,18709.48
00.197.027/0001-16-PREV-DENTE,229.22,217.68,221.82,187.5,223.24,217.79999999999998,216.28,212.43999999999997,139.64,0,191.48,140.06,228.92,139.49999999999997,191.56,0,218.78,222.14000000000001,237.12,0,0,483.12,286.78999999999996,0,201.66,200.66,201.32,199.92,202.28,184.23000000000002,177.49999999999997,187.85000000000002,0,188.64,201.76,201.03,183.76999999999998,158.82,158.24,158.82,158.89999999999998,158.89999999999998,157.92,158.16,158.89999999999998,159.14,158.16,157.88,158.14000000000001,158.89999999999998,318,318.08,318.26,317.34,317.46,317.41999999999996,317.1,317.02,317.26,315.34000000000003,317.84000000000003,300.68,12388.39
00.317.738/0001-87-CEPACC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7347.280000000001,7398.95,7487.819999999999,7488.08,7680.61,7600.43,7666.6,7059.250000000001,6063.050000000001,6104.870000000001,6074.67,6171.76,5355.37,5405.28,6002.019999999998,5787.2300000000005,5818.950000000001,5849.83,6112.289999999998,1330.29,6016.190000000001,1535.04,231.5,6650.849999999999,6433.580000000001,185.2,222.24,268.54,259.28,209.09,351.88,240.76,185.2,148593.97999999998
00.386.398/0001-46-UNIRIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9922.5,6909,10069.5,12421.5,12936,12568.5,13230,13744.5,13597.5,13744.5,13744.5,13744.5,13744.5,13744.5,16243.5,16831.5,18407.519999999997,18908.53,15672.579999999996,16523.179999999997,13493.91,16325.909999999998,19366.63,17347.149999999998,18890.03,20511.030000000006,19001.630000000005,21562.829999999998,20535.100000000002,22662.460000000006,29075.859999999986,29227.09999999999,29356.109999999986,30249.339999999997,28996.709999999985,29282.229999999985,29105.28999999999,29702.18999999999,28718.25,28913.259999999995,28958.31999999998,29591.13999999999,38478.81999999998,37531.47999999999,36729.849999999984,930320.9399999997
00.394.445/0001-01-COLEGIO AGRICOLA DE TERESINA,0,403.92,403.92,403.92,403.92,0,403.92,0,403.92,403.92,403.92,403.92,403.92,403.92,403.92,403.92,403.92,0,0,0,0,0,0,0,0,175.60999999999999,236.35999999999999,141.5,185.22,119.79,58.43,0,167.73000000000002,220.60999999999999,177.32999999999998,104.19999999999999,178.95999999999998,141.9,216.19,114.99,99.57999999999998,56.43,70.5,90.05999999999999,0,272.88,0,0,0,535.5,0,0,422.94,197.22,205.26000000000002,183.22,398.89000000000004,224.41,235.65,162.52,0,0,11048.759999999997
